,id,branch,customerType,gender,prodLine,price,quant,tot,date,time,payment,rating
30,871-79-8483,B,Normal,Male,Fashion accessories,94.13,5.0,494.1825,2019-02-25,19:39,Credit card,4.8
31,149-71-6266,B,Member,Male,Sports and travel,78.07,9.0,737.7615,2019-01-28,12:43,Cash,4.5
32,640-49-2076,B,Normal,Male,Sports and travel,83.78,8.0,703.752,2019-10-01,14:49,Cash,5.1
33,595-11-5460,A,Normal,Male,Health and beauty,96.58,2.0,202.81799999999998,2019-03-15,10:12,Credit card,5.1
34,183-56-6882,C,Member,Female,Food and beverages,99.42,4.0,417.564,2019-06-02,10:42,Ewallet,7.5
35,232-16-2483,C,Member,Female,Sports and travel,68.12,1.0,71.52600000000001,2019-07-01,12:28,Ewallet,6.8
36,129-29-8530,A,Member,Male,Sports and travel,62.62,5.000000000000001,328.755,2019-10-03,19:15,Ewallet,7.0
37,272-65-1806,A,Normal,Female,Electronic accessories,60.88,8.999999999999998,575.316,2019-01-15,17:17,Ewallet,4.7
38,333-73-7901,C,Normal,Female,Health and beauty,54.92,8.0,461.32800000000003,2019-03-23,13:24,Ewallet,7.6
39,777-82-7220,B,Member,Male,Home and lifestyle,30.12,8.0,253.00799999999998,2019-03-03,13:01,Cash,7.7
40,280-35-5823,B,Member,Female,Home and lifestyle,86.72,1.0,91.056,2019-01-17,18:45,Ewallet,7.9
41,554-53-8700,C,Member,Male,Home and lifestyle,56.11,2.0,117.831,2019-02-02,10:11,Cash,6.3
42,354-25-5821,B,Member,Female,Sports and travel,69.12,6.0,435.45599999999996,2019-02-08,13:03,Cash,5.6
43,228-96-1411,C,Member,Female,Food and beverages,98.7,8.0,829.08,2019-03-04,20:39,Cash,7.6
44,617-15-4209,C,Member,Male,Health and beauty,15.37,2.0,32.277,2019-03-16,19:47,Cash,7.2
45,132-32-9879,B,Member,Female,Electronic accessories,93.96,4.0,394.63199999999995,2019-03-09,18:00,Cash,9.5
46,370-41-7321,B,Member,Male,Health and beauty,56.69,9.0,535.7205,2019-02-27,17:24,Credit card,8.4
47,727-46-3608,B,Member,Female,Food and beverages,20.01,9.0,189.0945,2019-02-06,15:47,Ewallet,4.1
48,669-54-1719,B,Member,Male,Electronic accessories,18.93,6.0,119.259,2019-02-10,12:45,Credit card,8.1
49,574-22-5561,C,Member,Female,Fashion accessories,82.63,10.0,867.615,2019-03-19,17:08,Ewallet,7.9
50,326-78-5178,C,Member,Male,Food and beverages,91.39999999999999,7.0,671.79,2019-02-03,10:19,Cash,9.5
51,162-48-8011,A,Member,Female,Food and beverages,44.589999999999996,5.0,234.0975,2019-02-10,15:10,Cash,8.5
52,616-24-2851,B,Member,Female,Fashion accessories,17.87,4.0,75.054,2019-03-22,14:42,Ewallet,6.5
53,778-71-5554,C,Member,Male,Fashion accessories,15.43,1.0,16.2015,2019-01-25,15:46,Credit card,6.1
54,242-55-6721,B,Normal,Male,Home and lifestyle,16.16,2.0,33.936,2019-03-07,11:49,Ewallet,6.5
55,399-46-5918,C,Normal,Female,Electronic accessories,85.98,8.0,722.232,2019-02-28,19:01,Cash,8.2
56,106-35-6779,A,Member,Male,Home and lifestyle,44.34,2.0,93.11399999999999,2019-03-27,11:26,Cash,5.8
57,635-40-6220,A,Normal,Male,Health and beauty,89.6,8.0,752.64,2019-02-07,11:28,Ewallet,6.6
58,817-48-8732,A,Member,Female,Home and lifestyle,72.35,10.0,759.675,2019-01-20,15:55,Cash,5.4
59,120-06-4233,C,Normal,Male,Electronic accessories,30.61,6.0,192.843,2019-03-12,20:36,Cash,9.3
60,285-68-5083,C,Member,Female,Sports and travel,24.74,3.0,77.931,2019-02-15,17:47,Credit card,10.0
61,803-83-5989,C,Normal,Male,Home and lifestyle,55.73,6.0,351.099,2019-02-24,10:55,Ewallet,7.0
62,347-34-2234,B,Member,Female,Sports and travel,55.07,9.0,520.4115,2019-02-03,13:40,Ewallet,10.0
63,199-75-8169,A,Member,Male,Sports and travel,15.81,10.0,166.005,2019-03-06,12:27,Credit card,8.6
64,853-23-2453,B,Member,Male,Health and beauty,75.74,4.0,318.108,2019-02-14,14:35,Cash,7.6
65,877-22-3308,A,Member,Male,Health and beauty,15.87,10.0,166.635,2019-03-13,16:40,Cash,5.8
66,838-78-4295,C,Normal,Female,Health and beauty,33.47,2.0,70.28699999999999,2019-02-10,15:43,Ewallet,6.7
67,109-28-2512,B,Member,Female,Fashion accessories,97.61,6.0,614.943,2019-01-07,15:01,Ewallet,9.9
68,232-11-3025,A,Normal,Male,Sports and travel,78.77,10.0,827.085,2019-01-24,10:04,Cash,6.4
69,382-03-4532,A,Member,Female,Health and beauty,18.33,1.0,19.246499999999997,2019-02-02,18:50,Cash,4.3
70,393-65-2792,C,Normal,Male,Food and beverages,89.48,10.0,939.54,2019-01-06,12:46,Credit card,9.6
71,796-12-2025,C,Normal,Male,Fashion accessories,62.12,10.0,652.26,2019-02-11,16:19,Cash,5.9
72,510-95-6347,B,Member,Female,Food and beverages,48.52,3.0,152.838,2019-03-05,18:17,Ewallet,4.0
73,841-35-6630,C,Normal,Female,Electronic accessories,75.91,6.0,478.233,2019-03-09,18:21,Cash,8.7
74,287-21-9091,A,Normal,Male,Home and lifestyle,74.67,9.0,705.6315,2019-01-22,10:55,Ewallet,9.4
75,732-94-0499,C,Normal,Female,Electronic accessories,41.65,10.0,437.325,2019-01-13,17:04,Credit card,5.4
76,263-10-3913,C,Member,Male,Fashion accessories,49.04,9.0,463.428,2019-01-09,14:20,Credit card,8.6
77,381-20-0914,A,Member,Female,Fashion accessories,20.01,9.0,189.0945,2019-01-12,15:48,Credit card,5.7
78,829-49-1914,C,Member,Female,Food and beverages,78.31,10.0,822.255,2019-03-05,16:24,Ewallet,6.6
79,756-01-7507,C,Normal,Female,Health and beauty,20.38,5.0,106.995,2019-01-22,18:56,Cash,6.0
80,870-72-4431,C,Normal,Female,Health and beauty,99.19,6.0,624.8969999999999,2019-01-21,14:42,Credit card,5.5
81,847-38-7188,B,Normal,Female,Food and beverages,96.68,3.0,304.54200000000003,2019-01-26,19:56,Ewallet,6.4
82,480-63-2856,C,Normal,Male,Food and beverages,19.25,8.0,161.7,2019-01-23,18:37,Ewallet,6.6
83,787-56-0757,C,Member,Female,Food and beverages,80.36,4.0,337.51199999999994,2019-02-23,18:45,Credit card,8.3
84,360-39-5055,C,Member,Male,Sports and travel,48.91,5.0,256.7775,2019-03-09,10:17,Cash,6.6
85,730-50-9884,C,Normal,Female,Sports and travel,83.06,7.0,610.491,2019-03-05,14:31,Ewallet,4.0
86,362-58-8315,C,Normal,Male,Fashion accessories,76.52,5.0,401.73,2019-03-25,10:23,Cash,9.9
87,633-44-8566,A,Member,Male,Food and beverages,49.38,7.0,362.94300000000004,2019-03-27,20:35,Credit card,7.3
88,504-35-8843,A,Normal,Male,Sports and travel,42.47,1.0,44.5935,2019-01-02,16:57,Cash,5.7
89,318-68-5053,B,Normal,Female,Health and beauty,76.99,6.0,485.037,2019-02-27,17:55,Cash,6.1
90,565-80-5980,C,Member,Female,Home and lifestyle,47.38,4.0,198.99599999999998,2019-01-23,10:25,Cash,7.1
91,225-32-0908,C,Normal,Female,Sports and travel,44.86,10.0,471.03,2019-01-26,19:54,Ewallet,8.2
92,873-51-0671,A,Member,Female,Sports and travel,21.98,7.0,161.553,2019-10-01,16:42,Ewallet,5.1
93,152-08-9985,B,Member,Male,Health and beauty,64.36,9.0,608.202,2019-12-03,12:09,Credit card,8.6
94,512-91-0811,C,Normal,Male,Health and beauty,89.75,1.0,94.2375,2019-06-02,20:05,Credit card,6.6
95,594-34-4444,A,Normal,Male,Electronic accessories,97.16,1.0,102.01799999999999,2019-08-03,20:38,Ewallet,7.2
96,766-85-7061,B,Normal,Male,Health and beauty,87.87,10.0,922.635,2019-03-29,10:25,Ewallet,5.1
97,871-39-9221,C,Normal,Female,Electronic accessories,12.45,6.0,78.435,2019-09-02,13:11,Cash,4.1
98,865-92-6136,A,Normal,Male,Food and beverages,52.75,3.0,166.1625,2019-03-23,10:16,Ewallet,9.3
99,733-01-9107,B,Normal,Male,Home and lifestyle,82.7,6.0,521.01,2019-05-03,18:14,Cash,7.4
100,163-56-7055,C,Member,Male,Fashion accessories,48.71,1.0,51.1455,2019-03-26,19:20,Cash,4.1
101,189-98-2939,C,Normal,Male,Fashion accessories,78.55,9.0,742.2975,2019-01-03,13:22,Cash,7.2
102,551-21-3069,C,Normal,Female,Electronic accessories,23.07,9.0,218.0115,2019-01-02,11:27,Cash,4.9
103,212-62-1842,A,Normal,Male,Food and beverages,58.26,6.0,367.038,2019-03-28,16:44,Cash,9.9
104,716-39-1409,B,Normal,Male,Health and beauty,30.35,7.0,223.0725,2019-03-19,18:19,Cash,8.0
105,704-48-3927,A,Member,Male,Electronic accessories,88.67,10.0,931.035,2019-12-01,14:50,Ewallet,7.3
106,628-34-3388,C,Normal,Male,Fashion accessories,27.38,6.0,172.49400000000003,2019-05-01,20:54,Credit card,7.9
107,630-74-5166,A,Normal,Male,Sports and travel,62.13,6.0,391.41900000000004,2019-03-22,20:19,Cash,7.4
108,588-01-7461,C,Normal,Female,Food and beverages,33.98,9.0,321.111,2019-03-24,10:43,Cash,4.2
109,861-77-0145,C,Member,Male,Electronic accessories,81.97,10.0,860.685,2019-03-03,14:30,Cash,9.2
110,479-26-8945,B,Member,Female,Sports and travel,16.49,2.0,34.629,2019-05-02,11:32,Ewallet,4.6
111,210-67-5886,C,Member,Female,Health and beauty,98.21,3.0,309.3615,2019-05-02,10:41,Credit card,7.8
112,227-78-1148,B,Normal,Female,Fashion accessories,72.84,7.0,535.374,2019-02-15,12:44,Cash,8.4
113,645-44-1170,A,Member,Male,Home and lifestyle,58.07,9.0,548.7615,2019-01-19,20:07,Ewallet,4.3
114,237-01-6122,C,Member,Female,Home and lifestyle,80.79,9.0,763.4655,2019-01-02,20:31,Credit card,9.5
115,225-98-1496,C,Normal,Female,Fashion accessories,27.02,3.0,85.113,2019-02-03,13:01,Credit card,7.1
116,291-32-1427,B,Member,Male,Fashion accessories,21.94,5.0,115.185,2019-05-03,12:29,Ewallet,5.3
117,659-65-8956,B,Member,Male,Fashion accessories,51.36,1.0,53.928000000000004,2019-01-16,15:26,Ewallet,5.2
118,642-32-2990,A,Normal,Female,Food and beverages,10.96,10.0,115.08,2019-02-02,20:48,Ewallet,6.0
119,378-24-2715,B,Normal,Male,Home and lifestyle,53.44,2.0,112.22399999999999,2019-01-20,20:38,Ewallet,4.1
120,638-60-7125,A,Normal,Female,Electronic accessories,99.56,8.0,836.304,2019-02-14,17:03,Credit card,5.2
121,659-36-1684,C,Member,Male,Sports and travel,57.12,7.0,419.832,2019-12-01,12:02,Credit card,6.5
122,219-22-9386,B,Member,Male,Sports and travel,99.96,9.0,944.622,2019-09-03,17:26,Credit card,4.2
123,336-78-2147,C,Member,Male,Home and lifestyle,63.91,8.0,536.844,2019-03-13,19:52,Credit card,4.6
124,268-27-6179,B,Member,Female,Fashion accessories,56.47,8.0,474.348,2019-09-03,14:57,Ewallet,7.3
125,668-90-8900,A,Normal,Female,Home and lifestyle,93.69,7.0,688.6215,2019-10-03,18:44,Credit card,4.5
126,870-54-3162,A,Normal,Female,Sports and travel,32.25,5.0,169.3125,2019-01-27,13:26,Cash,9.0
127,189-08-9157,C,Normal,Female,Fashion accessories,31.73,9.0,299.8485,2019-08-01,16:17,Credit card,5.9
128,663-86-9076,C,Member,Female,Food and beverages,68.54,8.0,575.736,2019-08-01,15:57,Ewallet,8.5
129,549-84-7482,B,Normal,Female,Sports and travel,90.28,9.0,853.1460000000001,2019-08-02,11:15,Ewallet,7.2
130,191-10-6171,B,Normal,Female,Fashion accessories,39.62,7.0,291.207,2019-01-25,13:18,Cash,7.5
131,802-70-5316,A,Member,Female,Sports and travel,92.13,6.0,580.419,2019-06-03,20:34,Cash,8.3
132,695-51-0018,B,Normal,Female,Sports and travel,34.84,4.0,146.328,2019-10-02,18:36,Cash,7.4
133,590-83-4591,B,Member,Male,Electronic accessories,87.45,6.0,550.935,2019-02-17,14:40,Credit card,8.8
134,483-71-1164,C,Normal,Female,Health and beauty,81.3,6.0,512.19,2019-08-03,16:43,Ewallet,5.3
135,597-78-7908,C,Normal,Male,Fashion accessories,90.22,3.0,284.193,2019-02-18,19:39,Cash,6.2
136,700-81-1757,A,Normal,Female,Electronic accessories,26.31,5.0,138.1275,2019-01-18,20:59,Credit card,8.8
137,354-39-5160,A,Member,Female,Home and lifestyle,34.42,6.0,216.84599999999998,2019-02-18,15:39,Cash,9.8
138,241-72-9525,B,Normal,Male,Sports and travel,51.91,10.0,545.055,2019-02-16,12:21,Cash,8.2
139,575-30-8091,A,Normal,Male,Sports and travel,72.5,8.0,609.0,2019-03-16,19:25,Ewallet,9.2
140,731-81-9469,C,Member,Female,Sports and travel,89.8,10.0,942.9,2019-01-23,13:00,Credit card,5.4
141,280-17-4359,C,Member,Male,Health and beauty,90.5,10.0,950.25,2019-01-25,13:48,Cash,8.1
142,338-65-2210,C,Member,Female,Health and beauty,68.6,10.0,720.3,2019-05-02,19:57,Cash,9.1
143,488-25-4221,C,Member,Female,Food and beverages,30.41,1.0,31.9305,2019-02-22,10:36,Credit card,8.4
144,239-10-7476,A,Normal,Female,Home and lifestyle,77.95,6.0,491.085,2019-01-21,16:37,Ewallet,8.0
145,458-41-1477,C,Normal,Female,Health and beauty,46.26,6.0,291.438,2019-08-03,17:11,Credit card,9.5
146,685-64-1609,A,Member,Female,Fashion accessories,30.14,10.0,316.47,2019-10-02,12:28,Ewallet,9.2
147,568-90-5112,C,Normal,Male,Health and beauty,66.14,4.0,277.788,2019-03-19,12:46,Credit card,5.6
148,262-47-2794,B,Member,Male,Home and lifestyle,71.86,8.0,603.624,2019-06-03,15:07,Credit card,6.2
149,238-49-0436,A,Normal,Male,Health and beauty,32.46,8.0,272.664,2019-03-27,13:48,Credit card,4.9
150,608-96-3517,B,Member,Female,Fashion accessories,91.54,4.0,384.468,2019-03-23,19:20,Credit card,4.8
151,584-86-7256,C,Member,Male,Sports and travel,34.56,7.0,254.016,2019-11-03,16:07,Credit card,7.3
152,746-94-0204,A,Normal,Male,Fashion accessories,83.24,9.0,786.6179999999999,2019-01-29,11:56,Credit card,7.4
153,214-17-6927,C,Normal,Female,Food and beverages,16.48,6.0,103.824,2019-07-02,18:23,Ewallet,9.9
154,400-89-4171,C,Normal,Female,Sports and travel,80.97,8.0,680.148,2019-01-28,13:05,Cash,9.3
155,782-95-9291,A,Member,Male,Food and beverages,92.29,5.0,484.5225,2019-02-20,15:55,Credit card,9.0
156,279-74-2924,B,Member,Male,Electronic accessories,72.17,1.0,75.77850000000001,2019-04-01,19:40,Cash,6.1
157,307-85-2293,B,Normal,Male,Home and lifestyle,50.28,5.0,263.97,2019-07-03,13:58,Ewallet,9.7
158,743-04-1105,B,Member,Male,Health and beauty,97.22,9.0,918.729,2019-03-30,14:43,Ewallet,6.0
159,423-57-2993,B,Normal,Male,Sports and travel,93.39,6.0,588.3570000000001,2019-03-27,19:18,Ewallet,10.0
160,894-41-5205,C,Normal,Female,Food and beverages,43.18,8.0,362.712,2019-01-19,19:39,Credit card,8.3
161,275-28-0149,A,Normal,Male,Sports and travel,63.69,1.0,66.8745,2019-02-25,16:21,Cash,6.0
162,101-17-6199,A,Normal,Male,Food and beverages,45.79,7.0,336.5565,2019-03-13,19:44,Credit card,7.0
163,423-80-0988,C,Normal,Male,Sports and travel,76.4,2.0,160.44,2019-01-30,19:42,Ewallet,6.5
164,548-46-9322,B,Normal,Male,Food and beverages,39.9,10.0,418.95,2019-02-20,15:24,Credit card,5.9
165,505-02-0892,B,Member,Male,Health and beauty,42.57,8.0,357.588,2019-02-25,14:12,Ewallet,5.6
166,234-65-2137,C,Normal,Male,Home and lifestyle,95.58,10.0,1003.59,2019-01-16,13:32,Cash,4.8
167,687-47-8271,A,Normal,Male,Fashion accessories,98.98,10.0,1039.29,2019-08-02,16:20,Credit card,8.7
168,796-32-9050,A,Normal,Male,Food and beverages,51.28,6.0,323.064,2019-01-19,16:31,Cash,6.5
169,105-31-1824,A,Member,Male,Sports and travel,69.52,7.0,510.972,2019-01-02,15:10,Credit card,8.5
170,249-42-3782,A,Normal,Male,Health and beauty,70.01,5.0,367.5525,2019-03-01,11:36,Ewallet,5.5
171,316-55-4634,B,Member,Male,Food and beverages,80.05,5.0,420.2625,2019-01-26,12:45,Credit card,9.4
172,733-33-4967,C,Normal,Male,Electronic accessories,20.85,8.0,175.14,2019-03-03,19:17,Cash,6.3
173,608-27-6295,B,Member,Male,Electronic accessories,52.89,6.0,333.207,2019-01-19,17:34,Credit card,9.8
174,414-12-7047,B,Normal,Male,Food and beverages,19.79,8.0,166.236,2019-01-18,12:04,Ewallet,8.7
175,827-26-2100,A,Member,Male,Home and lifestyle,33.84,9.0,319.788,2019-03-21,16:21,Ewallet,8.8
176,175-54-2529,A,Member,Male,Food and beverages,22.17,8.0,186.22799999999998,2019-03-03,17:01,Credit card,9.6
177,139-52-2867,C,Normal,Female,Fashion accessories,22.51,7.0,165.4485,2019-02-13,10:50,Credit card,4.8
178,407-63-8975,A,Normal,Male,Food and beverages,73.88,6.0,465.444,2019-03-23,19:16,Ewallet,4.4
179,342-65-4817,C,Member,Male,Health and beauty,86.8,3.0,273.42,2019-01-28,16:47,Ewallet,9.9
180,130-98-8941,C,Normal,Male,Fashion accessories,64.26,7.0,472.311,2019-09-02,10:00,Cash,5.7
181,434-83-9547,C,Member,Male,Food and beverages,38.47,8.0,323.14799999999997,2019-01-23,11:51,Cash,7.7
182,851-28-6367,A,Member,Male,Sports and travel,15.5,10.0,162.75,2019-03-23,10:55,Ewallet,8.0
183,824-88-3614,C,Normal,Male,Health and beauty,34.31,8.0,288.204,2019-01-25,15:00,Ewallet,5.7
184,586-25-0848,A,Normal,Female,Sports and travel,12.34,7.0,90.699,2019-03-04,11:19,Credit card,6.7
185,895-66-0685,B,Member,Male,Food and beverages,18.08,3.0,56.952,2019-03-05,19:46,Ewallet,8.0
186,305-14-0245,B,Member,Female,Home and lifestyle,94.49,8.0,793.716,2019-03-03,19:00,Ewallet,7.5
187,732-04-5373,B,Member,Male,Home and lifestyle,46.47,4.0,195.174,2019-02-08,10:53,Cash,7.0
188,400-60-7251,A,Normal,Male,Home and lifestyle,74.07,1.0,77.7735,2019-02-10,12:50,Ewallet,9.9
189,593-65-1552,C,Normal,Female,Home and lifestyle,69.81,4.0,293.202,2019-01-28,20:50,Credit card,5.9
190,284-34-9626,B,Normal,Female,Home and lifestyle,77.04,3.0,242.676,2019-02-11,10:39,Credit card,7.2
191,437-58-8131,B,Normal,Female,Fashion accessories,73.52,2.0,154.392,2019-01-15,13:41,Ewallet,4.6
192,286-43-6208,C,Normal,Female,Food and beverages,87.8,9.0,829.71,2019-03-16,19:08,Cash,9.2
193,641-43-2399,B,Normal,Male,Home and lifestyle,25.55,4.0,107.31,2019-01-26,20:23,Ewallet,5.7
194,831-07-6050,A,Normal,Male,Electronic accessories,32.71,5.0,171.72750000000002,2019-03-19,11:30,Credit card,9.9
195,556-86-3144,C,Member,Female,Fashion accessories,74.29,1.0,78.00450000000001,2019-01-13,19:30,Cash,5.0
196,848-24-9445,C,Member,Male,Health and beauty,43.7,2.0,91.77000000000001,2019-03-26,18:03,Cash,4.9
197,856-22-8149,A,Normal,Female,Home and lifestyle,25.29,1.0,26.554499999999997,2019-03-23,10:13,Ewallet,6.1
198,699-01-4164,C,Normal,Male,Health and beauty,41.5,4.0,174.3,2019-03-12,19:58,Credit card,8.2
199,420-11-4919,C,Member,Female,Food and beverages,71.39,5.0,374.7975,2019-02-17,19:57,Credit card,5.5
200,606-80-4905,C,Member,Female,Sports and travel,19.15,6.0,120.64500000000001,2019-01-29,10:01,Credit card,6.8
201,542-41-0513,B,Member,Female,Electronic accessories,57.49,4.0,241.458,2019-03-15,11:57,Cash,6.6
202,426-39-2418,C,Normal,Male,Electronic accessories,61.41,7.0,451.3635,2019-01-14,10:02,Cash,9.8
203,875-46-5808,B,Member,Male,Health and beauty,25.9,10.0,271.95,2019-02-06,14:51,Ewallet,8.7
204,394-43-4238,B,Member,Male,Home and lifestyle,17.77,5.0,93.29249999999999,2019-02-15,12:42,Credit card,5.4
205,749-24-1565,A,Normal,Female,Health and beauty,23.03,9.0,217.6335,2019-01-03,12:02,Ewallet,7.9
206,672-51-8681,C,Member,Female,Electronic accessories,66.65,9.0,629.8425,2019-01-04,18:19,Credit card,9.7
207,263-87-5680,C,Member,Female,Home and lifestyle,28.53,10.0,299.565,2019-03-18,17:38,Ewallet,7.8
208,573-58-9734,B,Normal,Female,Fashion accessories,30.37,3.0,95.6655,2019-03-28,13:41,Ewallet,5.1
209,817-69-8206,B,Normal,Female,Electronic accessories,99.73,9.0,942.4485,2019-03-02,19:42,Credit card,6.5
210,888-02-0338,A,Normal,Male,Electronic accessories,26.23,9.0,247.8735,2019-01-25,20:24,Ewallet,5.9
211,677-11-0152,C,Normal,Female,Food and beverages,93.26,9.0,881.307,2019-01-16,18:08,Cash,8.8
212,142-63-6033,B,Normal,Male,Home and lifestyle,92.36,5.0,484.89,2019-03-20,19:17,Ewallet,4.9
213,656-16-1063,B,Normal,Male,Sports and travel,46.42,3.0,146.22299999999998,2019-01-04,13:24,Credit card,4.4
214,891-58-8335,B,Member,Female,Sports and travel,29.61,7.0,217.6335,2019-03-11,15:53,Cash,6.5
215,802-43-8934,A,Normal,Male,Home and lifestyle,18.28,1.0,19.194000000000003,2019-03-22,15:05,Credit card,8.3
216,560-30-5617,B,Normal,Female,Sports and travel,24.77,5.0,130.0425,2019-03-24,18:27,Cash,8.5
217,319-74-2561,A,Member,Female,Electronic accessories,94.64,3.0,298.116,2019-02-21,16:55,Cash,5.5
218,549-03-9315,B,Normal,Male,Fashion accessories,94.87,8.0,796.908,2019-02-12,12:58,Ewallet,8.7
219,790-29-1172,B,Normal,Female,Food and beverages,57.34,3.0,180.62099999999998,2019-03-10,18:59,Credit card,7.9
220,239-36-3640,B,Normal,Male,Electronic accessories,45.35,6.0,285.705,2019-01-31,13:44,Ewallet,6.1
221,468-01-2051,B,Normal,Male,Food and beverages,62.08,7.0,456.288,2019-03-06,13:46,Ewallet,5.4
222,389-25-3394,C,Normal,Male,Electronic accessories,11.81,5.0,62.0025,2019-02-17,18:06,Cash,9.4
223,279-62-1445,C,Member,Female,Fashion accessories,12.54,1.0,13.167,2019-02-21,12:38,Cash,8.2
224,213-72-6612,A,Normal,Male,Food and beverages,43.25,2.0,90.825,2019-03-20,15:56,Cash,6.2
225,746-68-6593,C,Member,Female,Sports and travel,87.16,2.0,183.03599999999997,2019-01-11,14:29,Credit card,9.7
226,836-82-5858,B,Member,Male,Health and beauty,69.37,9.0,655.5465,2019-01-26,19:14,Ewallet,4.0
227,583-72-1480,C,Member,Male,Electronic accessories,37.06,4.0,155.65200000000002,2019-01-31,16:24,Ewallet,9.7
228,466-61-5506,B,Member,Female,Electronic accessories,90.7,6.0,571.41,2019-02-26,10:52,Cash,5.3
229,721-86-6247,A,Normal,Female,Home and lifestyle,63.42,8.0,532.7280000000001,2019-03-11,12:55,Ewallet,7.4
230,289-65-5721,B,Normal,Female,Fashion accessories,81.37,2.0,170.877,2019-01-26,19:28,Cash,6.5
231,545-46-3100,B,Member,Female,Electronic accessories,10.59,3.0,33.3585,2019-03-12,13:52,Credit card,8.7
232,418-02-5978,B,Normal,Female,Health and beauty,84.09,9.0,794.6505,2019-02-11,10:54,Cash,8.0
233,269-04-5750,B,Member,Male,Fashion accessories,73.82,4.0,310.04400000000004,2019-02-21,18:31,Cash,6.7
234,157-13-5295,A,Member,Male,Health and beauty,51.94,10.0,545.37,2019-03-09,18:24,Ewallet,6.5
235,645-78-8093,A,Normal,Female,Sports and travel,93.14,2.0,195.59400000000002,2019-01-20,18:09,Ewallet,4.1
236,211-30-9270,C,Normal,Male,Health and beauty,17.41,5.0,91.4025,2019-01-28,15:16,Credit card,4.9
237,755-12-3214,C,Member,Female,Fashion accessories,44.22,5.0,232.155,2019-03-05,17:07,Credit card,8.6
238,346-84-3103,B,Member,Female,Electronic accessories,13.22,5.0,69.405,2019-03-02,19:26,Cash,4.3
